Model,Const,Mem,Prop,Region,Region Bound,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,Simple,#States (after),Time (wall),% Known,Regions
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,"0.2,1",1e-05,true,false,estimate,delta,true,	45,3.794,100.0,449
4x4grid-avoid,N/A,1,0.9393_probability_min_notbad U goal,3,"0.2,1",0.01,true,true,estimate,delta,true,	47,0.051,100.0,25
4x4grid-avoid,N/A,1,0.9393_probability_min_notbad U goal,3,"0.2,1",0.01,false,false,estimate,delta,true,	45,0.078,100.0,65
4x4grid-avoid,N/A,1,0.9300930000000001_probability_min_notbad U goal,3,"0.2,1",0.0001,true,false,estimate,delta,true,	45,2.001,100.0,449
4x4grid-avoid,N/A,1,0.9393_probability_min_notbad U goal,3,"0.2,1",0.01,true,false,estimate,delta,true,	45,0.097,100.0,65
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,"0.2,1",1e-05,false,false,estimate,delta,true,	45,1.389,100.0,537
4x4grid-avoid,N/A,1,0.9300930000000001_probability_min_notbad U goal,3,"0.2,1",0.0001,false,false,estimate,delta,true,?,MO,MO,MO
4x4grid-avoid,N/A,1,0.9300930000000001_probability_min_notbad U goal,3,"0.2,1",0.0001,true,true,estimate,delta,true,	47,0.103,100.0,65
4x4grid-avoid,N/A,1,0.9300930000000001_probability_min_notbad U goal,3,"0.2,1",0.0001,false,false,estimate,delta,true,	45,2.403,100.0,537
4x4grid-avoid,N/A,1,0.9300930000000001_probability_min_notbad U goal,3,"0.2,1",0.0001,false,false,estimate,delta,true,	45,2.443,100.0,537
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,"0.2,1",1e-05,false,false,estimate,delta,true,	45,1.385,100.0,537
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,"0.2,1",1e-05,true,true,estimate,delta,true,	47,0.102,100.0,65
4x4grid-avoid,N/A,1,0.9393_probability_min_notbad U goal,3,"0.2,1",0.01,false,false,estimate,delta,true,	45,0.079,100.0,65
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,"0.2,1",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
4x4grid,N/A,1,5.777541876600001_reward_max_goal,3,0.1,0.1,true,false,estimate,delta,true,	47,0.043,100.0,41
4x4grid,N/A,1,6.35529606426_reward_max_goal,3,0.1,0.01,true,false,estimate,delta,true,	47,0.058,100.0,137
4x4grid,N/A,1,6.35529606426_reward_max_goal,3,0.1,0.01,true,true,estimate,delta,true,	49,0.06,100.0,121
4x4grid,N/A,1,6.418849024902601_reward_max_goal,3,0.1,0.0001,true,true,estimate,delta,true,	49,0.267,100.0,1273
4x4grid,N/A,1,6.418849024902601_reward_max_goal,3,0.1,0.0001,true,false,estimate,delta,true,	47,0.233,100.0,1369
4x4grid,N/A,1,6.41942677909026_reward_max_goal,3,0.1,1e-05,true,true,estimate,delta,true,	49,0.709,100.0,3753
4x4grid,N/A,1,5.777541876600001_reward_max_goal,3,0.1,0.1,true,true,estimate,delta,true,	49,0.045,100.0,41
4x4grid,N/A,1,6.41942677909026_reward_max_goal,3,0.1,1e-05,true,false,estimate,delta,true,	47,0.666,100.0,4433
4x4grid,N/A,1,4.991260861620001_reward_max_goal,3,1e-06,0.01,true,true,estimate,delta,true,	49,0.059,100.0,121
4x4grid,N/A,1,4.5375098742_reward_max_goal,3,1e-06,0.1,true,false,estimate,delta,true,	47,0.041,100.0,41
4x4grid,N/A,1,5.041627221223621_reward_max_goal,3,1e-06,1e-05,true,false,estimate,delta,true,	47,0.668,100.0,4281
4x4grid,N/A,1,4.991260861620001_reward_max_goal,3,1e-06,0.01,true,false,estimate,delta,true,	47,0.059,100.0,153
4x4grid,N/A,1,4.5375098742_reward_max_goal,3,1e-06,0.1,true,true,estimate,delta,true,	49,0.044,100.0,41
4x4grid,N/A,1,5.041627221223621_reward_max_goal,3,1e-06,1e-05,true,true,estimate,delta,true,	49,0.706,100.0,3561
