Model,Const,Mem,Prop,Param Region,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,Simple,#States (after),Time (MC),% Known,# Regions
4x4grid-avoid,N/A,1,0.000723961876176_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.01,true,true,estimate,delta,true,	47,0.227,100.0,22
4x4grid-avoid,N/A,1,0.0007305433477776_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.001,true,false,estimate,delta,true,	45,248.864,100.0,7603
4x4grid-avoid,N/A,1,0.000723961876176_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.01,true,false,estimate,delta,true,	45,148.444,100.0,876
4x4grid-avoid,N/A,1,0.00065814716016_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.1,true,true,estimate,delta,true,	47,0.004,100.0,1
4x4grid-avoid,N/A,1,0.00065814716016_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.1,true,false,estimate,delta,true,	45,2.962,100.0,106
4x4grid-avoid,N/A,1,0.0007305433477776_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.001,true,true,estimate,delta,true,	47,151.957,100.0,946
4x4grid,N/A,1,4.638314870099999_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.1,true,true,estimate,delta,true,	49,0.226,100.0,36
4x4grid,N/A,1,5.148529505810999_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.001,true,true,estimate,delta,true,	49,0.629,100.0,330
4x4grid,N/A,1,5.148529505810999_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.001,true,false,estimate,delta,true,	47,0.712,100.0,358
4x4grid,N/A,1,4.638314870099999_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.1,true,false,estimate,delta,true,	47,0.058,100.0,36
4x4grid,N/A,1,5.10214635711_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.01,true,false,estimate,delta,true,	47,0.222,100.0,120
4x4grid,N/A,1,5.10214635711_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.01,true,true,estimate,delta,true,	49,0.294,100.0,106
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.7464256762600001_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.1,true,false,estimate,delta,true,	80,0.069,100.0,49
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.685354484566_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,false,estimate,delta,true,	80,0.284,100.0,217
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.7464256762600001_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.1,true,true,estimate,delta,true,	33,0.046,100.0,49
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.685354484566_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,true,estimate,delta,true,	33,0.19,100.0,214
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.6792473653965999_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.001,true,true,estimate,delta,true,	33,0.665,100.0,712
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.6792473653965999_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.001,true,false,estimate,delta,true,	80,0.784,100.0,730
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.3643889522273_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.001,true,true,estimate,delta,true,	41,2.093,100.0,1081
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.40042742003000004_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.1,true,true,estimate,delta,true,	41,0.13,100.0,76
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.367665176573_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,false,estimate,delta,true,	116,0.728,100.0,328
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.40042742003000004_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.1,true,false,estimate,delta,true,	116,0.142,100.0,82
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.367665176573_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,true,estimate,delta,true,	41,1.944,100.0,316
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.3643889522273_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.001,true,false,estimate,delta,true,	116,2.195,100.0,1108
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.038354154877700004_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,false,estimate,delta,true,	52,0.396,100.0,451
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.03801238518077_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.001,true,true,estimate,delta,true,	21,0.716,100.0,1495
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.041771851847000004_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.1,true,false,estimate,delta,true,	52,0.119,100.0,121
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.038354154877700004_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,true,estimate,delta,true,	21,0.224,100.0,436
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.03801238518077_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.001,true,false,estimate,delta,true,	52,1.452,100.0,1594
