Model,Const,Mem,Prop,Param Region,RobustPLA,BigStep,#States (after),Time (MC),% Known,# Regions
herman11_pla,N/A,N/A,10_reward_max_stable,1/100<=p<=99/100,true,false,	40690,173.854,100.0,24
herman11_pla,N/A,N/A,10_reward_max_stable,?,true,true,	788290,ERR,ERR,ERR
herman5_pla,N/A,N/A,3_reward_max_stable,1/100<=p<=99/100,true,false,	196,15.379,99.9908,53
herman5_pla,N/A,N/A,3_reward_max_stable,1/100<=p<=99/100,true,true,	75,0.292,99.9908,33
herman7_pla,N/A,N/A,5_reward_max_stable,1/100<=p<=99/100,true,false,	1422,ERR,ERR,ERR
herman7_pla,N/A,N/A,5_reward_max_stable,1/100<=p<=99/100,true,true,	499,11.086,99.9908,58
herman9_pla,N/A,N/A,10_reward_max_stable,1/100<=p<=99/100,true,false,	8008,ERR,ERR,ERR
herman9_pla,N/A,N/A,10_reward_max_stable,1/100<=p<=99/100,true,true,	2856,ERR,ERR,ERR
herman_random_pass_speedreducer_2-5,N/A,N/A,3_reward_max_stable,"1/100<=q<=99/100,1/100<=r<=99/100,1/100<=p<=99/100",true,false,	673,ERR,ERR,ERR
herman_random_pass_speedreducer_2-5,N/A,N/A,3_reward_max_stable,"1/100<=q<=99/100,1/100<=r<=99/100,1/100<=p<=99/100",true,true,	895,ERR,ERR,ERR
herman_random_pass_speedreducer_2-9,N/A,N/A,10_reward_max_stable,?,true,false,?,ERR,ERR,ERR
herman_random_pass_speedreducer_2-9,N/A,N/A,10_reward_max_stable,?,true,true,?,ERR,ERR,ERR
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	40,104.684,99.99,88165
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	14,110.203,99.99,97066
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	80,234.295,99.99,106735
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	26,191.469,99.99,108214
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	20,54.984,99.99,74080
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	8,47.827,99.99,72370
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	80,255.765,99.99,113926
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	26,233.915,99.99,122899
nand,N=2 K=2 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,false,	124,481.584,99.99,475069
nand,N=2 K=2 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,true,	45,ERR,ERR,ERR
nand,N=5 K=10 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,false,	5447,ERR,ERR,ERR
nand,N=5 K=10 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,true,	1054,ERR,ERR,ERR
nand,N=5 K=25 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,false,	13727,ERR,ERR,ERR
nand,N=5 K=25 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,true,	2554,ERR,ERR,ERR
nand,N=5 K=5 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,false,	2687,ERR,ERR,ERR
nand,N=5 K=5 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,true,	554,ERR,ERR,ERR
