Model,Const,Mem,Prop,Param Region,RobustPLA,BigStep,#States (after),Time (MC),% Known,# Regions
herman5_pla,N/A,N/A,1.83666514825_reward_max_stable,1/100<=p<=99/100,true,false,	196,0.02,100.0,22
herman5_pla,N/A,N/A,1.83666514825_reward_max_stable,1/100<=p<=99/100,true,true,	59,0.076,100.0,1
herman7_pla,N/A,N/A,4.26866341925_reward_max_stable,1/100<=p<=99/100,true,false,	1422,0.271,100.0,32
herman7_pla,N/A,N/A,4.26866341925_reward_max_stable,1/100<=p<=99/100,true,true,	440,0.22,100.0,8
herman9_pla,N/A,N/A,7.52498491155_reward_max_stable,1/100<=p<=99/100,true,false,	8008,4.792,100.0,58
herman9_pla,N/A,N/A,7.52498491155_reward_max_stable,1/100<=p<=99/100,true,true,	2566,0.72,100.0,18
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.000940381217795_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	80,0.001,100.0,1
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.000940381217795_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	27,0.001,100.0,1
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.000934832063165_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	80,0.001,100.0,1
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.000934832063165_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	27,0.001,100.0,1
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.00028366443205_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	40,0.0,100.0,1
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.00028366443205_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	15,0.002,100.0,10
