Model,Const,Mem,Prop,Param Region,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,Simple,#States (after),Time (MC),% Known,# Regions
4x4grid-avoid,N/A,1,0.0007321444005221999_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.001,true,true,estimate,delta,true,	47,ERR,ERR,ERR
4x4grid-avoid,N/A,1,0.0007255485050219999_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.01,true,false,estimate,delta,true,	45,ERR,ERR,ERR
4x4grid-avoid,N/A,1,0.0007255485050219999_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.01,true,true,estimate,delta,true,	47,9.292,100.0,36
4x4grid-avoid,N/A,1,0.00065958955002_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.1,true,false,estimate,delta,true,	45,43.735,100.0,106
4x4grid-avoid,N/A,1,0.0007321444005221999_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.001,true,false,estimate,delta,true,	45,ERR,ERR,ERR
4x4grid-avoid,N/A,1,0.00065958955002_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.1,true,true,estimate,delta,true,	47,0.068,100.0,1
4x4grid,N/A,1,4.638315013200001_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.1,true,false,estimate,delta,true,	47,0.416,100.0,36
4x4grid,N/A,1,5.10214651452_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.01,true,true,estimate,delta,true,	49,0.989,100.0,106
4x4grid,N/A,1,4.638315013200001_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.1,true,true,estimate,delta,true,	49,0.512,100.0,36
4x4grid,N/A,1,5.148529664652_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.001,true,true,estimate,delta,true,	49,2.614,100.0,330
4x4grid,N/A,1,5.148529664652_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.001,true,false,estimate,delta,true,	47,3.961,100.0,358
4x4grid,N/A,1,5.10214651452_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.01,true,false,estimate,delta,true,	47,1.351,100.0,120
alarm,N/A,N/A,0.05981342161509_probability_max_VENTTUBE=0,"1/100<=x<=99/100,1/100<=y<=99/100",0.001,true,false,estimate,delta,true,	31,0.181,100.0,31
alarm,N/A,N/A,0.0592745619609_probability_max_VENTTUBE=0,"1/100<=x<=99/100,1/100<=y<=99/100",0.01,true,false,estimate,delta,true,	31,0.119,100.0,22
alarm,N/A,N/A,0.0592745619609_probability_max_VENTTUBE=0,?,0.01,true,true,estimate,delta,true,	888,ERR,ERR,ERR
alarm,N/A,N/A,0.053885965419_probability_max_VENTTUBE=0,?,0.1,true,true,estimate,delta,true,	888,ERR,ERR,ERR
alarm,N/A,N/A,0.053885965419_probability_max_VENTTUBE=0,"1/100<=x<=99/100,1/100<=y<=99/100",0.1,true,false,estimate,delta,true,	31,0.059,100.0,10
alarm,N/A,N/A,0.05981342161509_probability_max_VENTTUBE=0,?,0.001,true,true,estimate,delta,true,	888,ERR,ERR,ERR
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.685354308321_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,false,estimate,delta,true,	80,4.93,100.0,217
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.7464254843100001_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.1,true,false,estimate,delta,true,	80,1.059,100.0,49
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.6792471907220999_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.001,true,false,estimate,delta,true,	80,17.283,100.0,730
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.7464254843100001_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.1,true,true,estimate,delta,true,	33,0.521,100.0,49
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.685354308321_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,true,estimate,delta,true,	33,2.694,100.0,214
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.6792471907220999_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.001,true,true,estimate,delta,true,	33,6.406,100.0,712
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.3643883208966_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.001,true,false,estimate,delta,true,	116,42.731,100.0,1108
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.40042672626000003_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.1,true,false,estimate,delta,true,	116,3.424,100.0,82
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.40042672626000003_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.1,true,true,estimate,delta,true,	41,1.29,100.0,76
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.36766453956600004_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,false,estimate,delta,true,	116,11.629,100.0,328
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.36766453956600004_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,true,estimate,delta,true,	41,5.001,100.0,316
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.3643883208966_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.001,true,true,estimate,delta,true,	41,13.303,100.0,1081
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.041771736677_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.1,true,true,estimate,delta,true,	21,0.851,100.0,118
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.03801228037607_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.001,true,false,estimate,delta,true,	52,19.987,100.0,1594
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.03801228037607_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.001,true,true,estimate,delta,true,	21,6.488,100.0,1501
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.0383540491307_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,true,estimate,delta,true,	21,2.256,100.0,436
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.0383540491307_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,false,estimate,delta,true,	52,6.77,100.0,451
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.041771736677_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.1,true,false,estimate,delta,true,	52,2.076,100.0,121
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.00338047269064_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,true,estimate,delta,true,	12,1.755,100.0,463
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.0033503496666639995_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.001,true,false,estimate,delta,true,	20,7.919,100.0,1843
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.0033503496666639995_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.001,true,true,estimate,delta,true,	12,3.458,100.0,1738
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.0036817029304000003_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.1,true,true,estimate,delta,true,	12,0.486,100.0,127
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.00338047269064_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,false,estimate,delta,true,	20,2.242,100.0,481
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.0036817029304000003_probability_min_observeIGreater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.1,true,false,estimate,delta,true,	20,0.687,100.0,133
hailfinder,N/A,N/A,0.1222882494399_probability_max_WindAloft=0,"1/100<=p0<=99/100,1/100<=p1<=99/100,1/100<=p2<=99/100,1/100<=p3<=99/100,1/100<=p4<=99/100,1/100<=p5<=99/100,1/100<=p6<=99/100,1/100<=p7<=99/100",0.001,true,true,estimate,delta,true,	339,0.014,100.0,1
hailfinder,N/A,N/A,0.121186553499_probability_max_WindAloft=0,"1/100<=p0<=99/100,1/100<=p1<=99/100,1/100<=p2<=99/100,1/100<=p3<=99/100,1/100<=p4<=99/100,1/100<=p5<=99/100,1/100<=p6<=99/100,1/100<=p7<=99/100",0.01,true,false,estimate,delta,true,	339,0.012,100.0,1
hailfinder,N/A,N/A,0.11016959409_probability_max_WindAloft=0,"1/100<=p0<=99/100,1/100<=p1<=99/100,1/100<=p2<=99/100,1/100<=p3<=99/100,1/100<=p4<=99/100,1/100<=p5<=99/100,1/100<=p6<=99/100,1/100<=p7<=99/100",0.1,true,true,estimate,delta,true,	339,0.011,100.0,1
hailfinder,N/A,N/A,0.1222882494399_probability_max_WindAloft=0,"1/100<=p0<=99/100,1/100<=p1<=99/100,1/100<=p2<=99/100,1/100<=p3<=99/100,1/100<=p4<=99/100,1/100<=p5<=99/100,1/100<=p6<=99/100,1/100<=p7<=99/100",0.001,true,false,estimate,delta,true,	339,0.016,100.0,1
