Model,Const,Mem,Prop,Param Region,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,Simple,#States (after),Time (MC),% Known,# Regions
4x4grid-avoid,N/A,1,0.00065821343058_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.1,true,true,roundrobin,delta,true,	45,3.1,100.0,106
4x4grid-avoid,N/A,1,0.0007240347736379999_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.01,true,true,roundrobin,delta,true,	45,92.658,100.0,876
4x4grid-avoid,N/A,1,0.0007306169079437999_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.001,true,true,roundrobin,delta,true,	45,1294.939,100.0,8744
4x4grid-avoid,N/A,1,0.00065821343058_probability_max_notbad U goal,"1/100<=p0_2<=99/100,1/100<=p0_0<=99/100,1/100<=p0_1<=99/100",0.1,true,true,roundrobin,delta,false,	17,ERR,ERR,ERR
4x4grid-avoid,N/A,1,0.0007306169079437999_probability_max_notbad U goal,"1/100<=p0_2<=99/100,1/100<=p0_0<=99/100,1/100<=p0_1<=99/100",0.001,true,true,roundrobin,delta,false,	17,0.299,100.0,1
4x4grid-avoid,N/A,1,0.0007240347736379999_probability_max_notbad U goal,"1/100<=p0_2<=99/100,1/100<=p0_0<=99/100,1/100<=p0_1<=99/100",0.01,true,true,roundrobin,delta,false,	17,0.45,100.0,1
4x4grid,N/A,1,5.1021471402000005_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.01,true,true,roundrobin,delta,true,	47,0.019,100.0,120
4x4grid,N/A,1,5.148530296020001_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.001,true,true,roundrobin,delta,true,	47,0.049,100.0,358
4x4grid,N/A,1,4.638315582000001_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.1,true,true,roundrobin,delta,true,	47,0.007,100.0,36
4x4grid,N/A,1,5.148530296020001_reward_max_goal,"1/100<=p0_2<=99/100,1/100<=p0_0<=99/100,1/100<=p0_1<=99/100",0.001,true,true,roundrobin,delta,false,	17,0.385,100.0,1
4x4grid,N/A,1,4.638315582000001_reward_max_goal,"1/100<=p0_2<=99/100,1/100<=p0_0<=99/100,1/100<=p0_1<=99/100",0.1,true,true,roundrobin,delta,false,	17,0.419,100.0,1
4x4grid,N/A,1,5.1021471402000005_reward_max_goal,"1/100<=p0_2<=99/100,1/100<=p0_0<=99/100,1/100<=p0_1<=99/100",0.01,true,true,roundrobin,delta,false,	17,0.386,100.0,1
maze2,N/A,1,14.56227226089_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p2_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p8_0<=99/100,1/100<=p9_0<=99/100,1/100<=p10_0<=99/100,1/100<=p12_0<=99/100,1/100<=p13_0<=99/100,1/100<=p14_0<=99/100,1/100<=p15_0<=99/100,1/100<=p17_0<=99/100,1/100<=p19_0<=99/100",0.001,true,true,roundrobin,delta,true,	41,ERR,ERR,ERR
maze2,N/A,1,13.119164199_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p2_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p8_0<=99/100,1/100<=p9_0<=99/100,1/100<=p10_0<=99/100,1/100<=p12_0<=99/100,1/100<=p13_0<=99/100,1/100<=p14_0<=99/100,1/100<=p15_0<=99/100,1/100<=p17_0<=99/100,1/100<=p19_0<=99/100",0.1,true,true,roundrobin,delta,true,	41,ERR,ERR,ERR
