Model,Const,Mem,Prop,Param Region,RobustPLA,BigStep,#States (after),Time (MC),% Known,# Regions
herman5_pla,N/A,N/A,3_reward_max_stable,1/100<=p<=99/100,true,false,	196,0.416,99.0234,30
herman5_pla,N/A,N/A,3_reward_max_stable,1/100<=p<=99/100,true,true,	76,0.032,99.2188,20
herman7_pla,N/A,N/A,5_reward_max_stable,1/100<=p<=99/100,true,false,	1422,25.169,99.0234,82
herman7_pla,N/A,N/A,5_reward_max_stable,1/100<=p<=99/100,true,true,	462,0.584,99.2188,30
herman9_pla,N/A,N/A,10_reward_max_stable,1/100<=p<=99/100,true,false,	8008,166.053,99.0234,65
herman9_pla,N/A,N/A,10_reward_max_stable,1/100<=p<=99/100,true,true,	2658,110.902,99.0234,28
herman11_pla,N/A,N/A,16_reward_max_stable,1/100<=p<=99/100,true,false,	40690,ERR,ERR,ERR
herman11_pla,N/A,N/A,16_reward_max_stable,1/100<=p<=99/100,true,true,	14756,ERR,ERR,ERR
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	80,0.164,99.0051,952
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	27,0.159,99.0005,985
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	80,0.194,99.0005,1054
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	27,0.267,99.0005,1255
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	40,0.101,99.0051,832
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	15,0.164,99.0051,922
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	20,0.091,99.0051,685
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	11,0.063,99.0051,685
nand,N=2 K=2 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,false,	124,0.039,99.0234,202
nand,N=2 K=2 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,true,	45,0.195,99.0234,103
nand,N=5 K=5 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,false,	2687,18.022,99.0002,12247
nand,N=5 K=5 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,true,	554,297.57,99.0002,6157
nand,N=5 K=10 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,false,	5447,130.487,99.0001,33724
nand,N=5 K=10 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,true,	1054,ERR,ERR,ERR
nand,N=5 K=25 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,false,	13727,97.175,99.0002,15526
nand,N=5 K=25 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,true,	2554,ERR,ERR,ERR
4x4grid-avoid,N/A,1,0.9_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",true,false,	45,0.438,99.0021,2941
4x4grid-avoid,N/A,1,0.9_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",true,true,	47,0.328,99.0021,2416
4x4grid-avoid,N/A,1,0.9_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",true,false,	45,0.418,99.0021,2941
4x4grid-avoid,N/A,1,0.9_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",true,true,	47,0.352,99.0021,2416
