Model,Const,Mem,Prop,Param Region,Epsilon,RobustPLA,BigStep,#States (after),Time (MC),% Known,# Regions
herman5_pla,N/A,N/A,1.4499987315_reward_max_stable,1/100<=p<=99/100,0.25,false,false,	196,0.005,100.0,6
herman5_pla,N/A,N/A,1.4499987315_reward_max_stable,1/100<=p<=99/100,0.25,true,false,	196,0.005,100.0,6
herman7_pla,N/A,N/A,3.36999368175_reward_max_stable,1/100<=p<=99/100,0.25,false,false,	1422,0.054,100.0,10
herman7_pla,N/A,N/A,3.36999368175_reward_max_stable,1/100<=p<=99/100,0.25,true,false,	1422,0.082,100.0,10
herman9_pla,N/A,N/A,5.9407783035_reward_max_stable,1/100<=p<=99/100,0.25,false,false,	8008,0.539,100.0,14
herman9_pla,N/A,N/A,5.9407783035_reward_max_stable,1/100<=p<=99/100,0.25,true,false,	8008,1.264,100.0,14
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.0007424060720249999_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.25,false,false,	80,0.001,100.0,1
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.0007424060720249999_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.25,true,false,	80,0.001,100.0,1
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.0007380251553_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.25,false,false,	80,0.001,100.0,1
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.0007380251553_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.25,true,false,	80,0.001,100.0,1
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.00022394560394999998_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.25,false,false,	40,0.0,100.0,1
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.00022394560394999998_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.25,true,false,	40,0.0,100.0,1
crowds,CrowdSize=20 TotalRuns=2 ,N/A,7.507501057499999e-05_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.25,false,false,	20,0.0,100.0,1
crowds,CrowdSize=20 TotalRuns=2 ,N/A,7.507501057499999e-05_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.25,true,false,	20,0.0,100.0,1
nand,N=2 K=2 ,N/A,0.019919925615_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.25,false,false,	124,0.004,100.0,25
nand,N=2 K=2 ,N/A,0.019919925615_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.25,true,false,	124,0.005,100.0,25
nand,N=5 K=5 ,N/A,0.005321837501249999_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.25,false,false,	2687,0.118,100.0,88
nand,N=5 K=5 ,N/A,0.005321837501249999_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.25,true,false,	2687,0.395,100.0,88
nand,N=5 K=10 ,N/A,0.0173330653575_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.25,false,false,	5447,0.804,100.0,379
nand,N=5 K=10 ,N/A,0.0173330653575_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.25,true,false,	5447,5.602,100.0,379
nand,N=5 K=25 ,N/A,0.017333060445_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.25,false,false,	13727,2.271,100.0,385
nand,N=5 K=25 ,N/A,0.017333060445_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.25,true,false,	13727,29.086,100.0,385
4x4grid-avoid,N/A,1,0.000548390340075_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.25,false,false,	45,0.039,100.0,22
4x4grid-avoid,N/A,1,0.000548390340075_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.25,true,false,	45,0.175,100.0,22
