Model,Const,Mem,Prop,Param Region,RobustPLA,BigStep,#States (after),Time (MC),% Known,# Regions
herman5_pla,N/A,N/A,3_reward_max_stable,1/100<=p<=99/100,true,false,	196,0.55,99.9023,38
herman5_pla,N/A,N/A,3_reward_max_stable,1/100<=p<=99/100,true,true,	75,0.05,99.9023,26
herman7_pla,N/A,N/A,5_reward_max_stable,1/100<=p<=99/100,true,false,	1422,27.205,99.9023,117
herman7_pla,N/A,N/A,5_reward_max_stable,1/100<=p<=99/100,true,true,	499,0.901,99.9023,42
herman9_pla,N/A,N/A,10_reward_max_stable,1/100<=p<=99/100,true,false,	8008,185.492,99.9023,83
herman9_pla,N/A,N/A,10_reward_max_stable,1/100<=p<=99/100,true,true,	2856,155.333,99.9023,37
herman11_pla,N/A,N/A,16_reward_max_stable,1/100<=p<=99/100,true,false,	40690,ERR,ERR,ERR
herman11_pla,N/A,N/A,16_reward_max_stable,1/100<=p<=99/100,true,true,	16094,ERR,ERR,ERR
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	80,2.533,99.9,10780
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	26,2.799,99.9,10918
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	80,2.501,99.9,11743
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	26,3.265,99.9,12829
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	40,1.526,99.9,8548
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	14,2.188,99.9,9661
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	20,0.899,99.9,6763
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	8,0.864,99.9,6508
nand,N=2 K=2 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,false,	124,0.247,99.9001,1285
nand,N=2 K=2 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,true,	45,0.95,99.9001,799
nand,N=5 K=5 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,false,	2687,269.761,99.9,80266
nand,N=5 K=5 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,true,	554,ERR,ERR,ERR
nand,N=5 K=10 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,false,	5447,ERR,ERR,ERR
nand,N=5 K=10 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,true,	1054,ERR,ERR,ERR
nand,N=5 K=25 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,false,	13727,ERR,ERR,ERR
nand,N=5 K=25 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,true,	2554,ERR,ERR,ERR
