Model,Const,Mem,Prop,Param Region,RobustPLA,BigStep,#States (after),Time (MC),% Known,# Regions
herman5_pla,N/A,N/A,3_reward_max_stable,1/100<=p<=99/100,true,false,	196,0.313,99.9023,38
herman5_pla,N/A,N/A,3_reward_max_stable,1/100<=p<=99/100,true,true,	59,0.092,99.9023,26
herman7_pla,N/A,N/A,5_reward_max_stable,1/100<=p<=99/100,true,false,	1422,18.321,99.9023,117
herman7_pla,N/A,N/A,5_reward_max_stable,1/100<=p<=99/100,true,true,	440,0.586,99.9023,40
herman9_pla,N/A,N/A,9_reward_max_stable,1/100<=p<=99/100,true,false,	8008,126.542,99.9023,123
herman9_pla,N/A,N/A,9_reward_max_stable,1/100<=p<=99/100,true,true,	2566,86.571,99.9023,51
herman11_pla,N/A,N/A,16_reward_max_stable,1/100<=p<=99/100,true,false,	40690,ERR,ERR,ERR
herman11_pla,N/A,N/A,16_reward_max_stable,1/100<=p<=99/100,true,true,	14180,TO,TO,TO
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	80,1.641,99.9,10780
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	27,1.62,99.9,11266
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	80,1.771,99.9,11743
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	27,1.92,99.9,13345
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	40,1.03,99.9,8548
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	15,1.28,99.9,10069
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	20,0.678,99.9,6763
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	10,0.556,99.9,6763
