Model,Const,Mem,Prop,Param Region,RobustPLA,BigStep,#States (after),Time (MC),% Known,# Regions
herman5_pla,N/A,N/A,3_reward_max_stable,1/100<=p<=99/100,true,false,	196,0.384,99.0234,30
herman5_pla,N/A,N/A,3_reward_max_stable,1/100<=p<=99/100,true,true,	75,0.035,99.2188,20
herman7_pla,N/A,N/A,5_reward_max_stable,1/100<=p<=99/100,true,false,	1422,23.816,99.0234,82
herman7_pla,N/A,N/A,5_reward_max_stable,1/100<=p<=99/100,true,true,	499,0.682,99.2188,32
herman9_pla,N/A,N/A,10_reward_max_stable,1/100<=p<=99/100,true,false,	8008,ERR,ERR,ERR
herman9_pla,N/A,N/A,10_reward_max_stable,1/100<=p<=99/100,true,true,	2856,ERR,ERR,ERR
herman11_pla,N/A,N/A,16_reward_max_stable,1/100<=p<=99/100,true,false,	40690,ERR,ERR,ERR
herman11_pla,N/A,N/A,16_reward_max_stable,?,true,true,?,ERR,ERR,ERR
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	80,0.134,99.0051,952
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	26,0.157,99.0051,961
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	80,0.128,99.0005,1054
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	26,0.22,99.0005,1195
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	40,0.077,99.0051,832
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	14,0.144,99.0051,898
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,false,	20,0.053,99.0051,685
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,true,	8,0.043,99.0051,679
nand,N=2 K=2 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,false,	124,0.049,99.0234,202
nand,N=2 K=2 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,true,	45,0.106,99.0234,103
nand,N=5 K=5 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,false,	2687,21.108,99.0002,12247
nand,N=5 K=5 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,true,	554,ERR,ERR,ERR
nand,N=5 K=10 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,false,	5447,ERR,ERR,ERR
nand,N=5 K=10 ,N/A,0.1_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,true,	1054,ERR,ERR,ERR
nand,N=5 K=25 ,N/A,0.1_probability_max_target,?,true,true,?,ERR,ERR,ERR
