Model,Const,Mem,Prop,Param Region,BigStep Horizon,Time-Travelling,#States (after),Time,% Known
nand,N=1 K=1 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0,false,	24,TO,TO
nand,N=1 K=1 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",1,false,	10,TO,TO
nand,N=1 K=1 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",2,false,	7,TO,TO
nand,N=1 K=1 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",3,false,	5,2.724,90.0024
nand,N=1 K=1 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",4,false,	5,2.789,90.0024
nand,N=1 K=1 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0,true,	24,TO,TO
nand,N=1 K=1 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",1,true,	10,TO,TO
nand,N=1 K=1 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",2,true,	9,TO,TO
nand,N=1 K=1 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",3,true,	7,197.816,90.0001
nand,N=1 K=1 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",4,true,	7,197.355,90.0001
nand,N=5 K=10 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0,false,	5447,2.976,90.0391
nand,N=5 K=10 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",1,false,	1403,1.452,90.0391
nand,N=5 K=10 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",2,false,	717,18.144,90.0391
nand,N=5 K=10 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",3,false,	491,14.676,90.0391
nand,N=5 K=10 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",4,false,	384,19.433,90.0391
nand,N=5 K=10 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0,true,	5447,2.877,90.0391
nand,N=5 K=10 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",1,true,	2709,3.205,90.0391
nand,N=5 K=10 ,N/A,0.5_probability_max_target,?,2,true,	8112,TO,TO
nand,N=5 K=10 ,N/A,0.5_probability_max_target,?,3,true,	8112,TO,TO
nand,N=5 K=10 ,N/A,0.5_probability_max_target,?,4,true,	8112,TO,TO
