Model,Const,Mem,Prop,Param Region,BigStep Horizon,Time-Travelling,#States (after),Time (Total),Time (MC),% Known,# Regions
herman5_pla,N/A,1,3_reward_max_stable,1/1000000<=p<=999999/1000000,0,true,	196,69.38,67.828,90.625,1
herman5_pla,N/A,1,3_reward_max_stable,1/1000000<=p<=999999/1000000,0,true,	196,90.45,88.816,90.625,1
herman9_pla,N/A,1,3_reward_max_stable,1/1000000<=p<=999999/1000000,0,true,	8008,39.34,4.831,100.0,
herman9_pla,N/A,1,3_reward_max_stable,1/1000000<=p<=999999/1000000,0,true,	8008,40.92,6.658,100.0,
crowds,CrowdSize=2 TotalRuns=5 ,1,0.25_probability_max_observe0Greater1,"1/1000000<=pL<=999999/1000000,1/1000000<=pK<=999999/1000000",0,true,	80,1.58,0.211,90.2344,8
crowds,CrowdSize=2 TotalRuns=5 ,1,0.25_probability_max_observe0Greater1,"1/1000000<=pL<=999999/1000000,1/1000000<=pK<=999999/1000000",0,true,	80,1.55,0.185,90.2344,8
crowds,CrowdSize=20 TotalRuns=2 ,1,0.25_probability_max_observe0Greater1,"1/1000000<=pL<=999999/1000000,1/1000000<=pK<=999999/1000000",0,true,	20,2.12,0.06,90.2344,8
crowds,CrowdSize=20 TotalRuns=2 ,1,0.25_probability_max_observe0Greater1,"1/1000000<=pL<=999999/1000000,1/1000000<=pK<=999999/1000000",0,true,	20,2.15,0.064,90.2344,8
nand,N=2 K=2 ,1,0.5_probability_max_target,"1/1000000<=prob1<=999999/1000000,1/1000000<=perr<=999999/1000000",0,true,	124,2.06,0.35,90.0391,43
nand,N=2 K=2 ,1,0.5_probability_max_target,"1/1000000<=prob1<=999999/1000000,1/1000000<=perr<=999999/1000000",0,true,	124,2.08,0.39,90.0391,43
nand,N=5 K=10 ,1,0.5_probability_max_target,"1/1000000<=prob1<=999999/1000000,1/1000000<=perr<=999999/1000000",0,true,	5447,17.2,13.48,90.0391,21
nand,N=5 K=10 ,1,0.5_probability_max_target,"1/1000000<=prob1<=999999/1000000,1/1000000<=perr<=999999/1000000",0,true,	5447,17.24,13.662,90.0391,21
nand,N=5 K=25 ,1,0.5_probability_max_target,"1/1000000<=prob1<=999999/1000000,1/1000000<=perr<=999999/1000000",0,true,	13727,45.15,38.08,90.0391,30
nand,N=5 K=25 ,1,0.5_probability_max_target,"1/1000000<=prob1<=999999/1000000,1/1000000<=perr<=999999/1000000",0,true,	13727,76.4,69.483,90.0391,30
