Model,Const,Mem,Prop,Region,Region Bound,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,Simple,#States (after),Time (wall),% Known,Regions
4x4grid-avoid,N/A,1,0.854533745352_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,0.01,true,false,estimate,delta,true,	45,0.068,100.0,428
4x4grid-avoid,N/A,1,0.846081475930152_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,1e-05,true,false,estimate,delta,true,	45,1.378,100.0,17333
4x4grid-avoid,N/A,1,0.846081475930152_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,1e-05,true,true,estimate,delta,true,	47,1.128,100.0,11852
4x4grid-avoid,N/A,1,0.854533745352_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,0.01,true,true,estimate,delta,true,	47,0.063,100.0,316
4x4grid-avoid,N/A,1,0.9306803167200001_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,0.1,true,true,estimate,delta,true,	47,0.024,100.0,22
4x4grid-avoid,N/A,1,0.9306803167200001_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,0.1,true,false,estimate,delta,true,	45,0.025,100.0,29
4x4grid-avoid,N/A,1,0.84615762250152_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,0.0001,true,true,estimate,delta,true,	47,0.405,100.0,3928
4x4grid-avoid,N/A,1,0.84615762250152_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,0.0001,true,false,estimate,delta,true,	45,0.465,100.0,5524
4x4grid-avoid,N/A,1,0.928580463311776_probability_min_notbad U goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000,1/1000000<=p5_0<=999999/1000000",1e-06,1e-05,true,true,estimate,delta,true,	47,10.463,100.0,1296
4x4grid-avoid,N/A,1,0.928580463311776_probability_min_notbad U goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000,1/1000000<=p5_0<=999999/1000000",1e-06,1e-05,true,false,estimate,delta,true,	45,114.473,100.0,63344
