Model,Const,Mem,Prop,Region,Region Bound,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,Simple,#States (after),Time (wall),% Known,Regions
alarm,N/A,N/A,0.121976586521937_probability_max_VENTTUBE=0,2,"0.2,1",1e-05,true,false,estimate,delta,true,	60,0.149,100.0,69
alarm,N/A,N/A,0.121976586521937_probability_max_VENTTUBE=0,2,"0.2,1",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
brp,N=16 MAX=2 ,N/A,0.023738512742753605_probability_min_uncertain,4,0.1,1e-05,false,false,estimate,delta,true,	324,MO,MO,MO
brp,N=16 MAX=2 ,N/A,0.023738512742753605_probability_min_uncertain,4,0.1,1e-05,true,false,estimate,delta,true,	324,TO,TO,TO
brp,N=16 MAX=2 ,N/A,0.023738512742753605_probability_min_uncertain,4,0.1,1e-05,true,true,estimate,delta,true,	177,TO,TO,TO
brp,N=16 MAX=2 ,N/A,0.0237384993526197_probability_min_uncertain,4,1e-06,1e-05,true,true,estimate,delta,true,	177,TO,TO,TO
brp,N=16 MAX=2 ,N/A,0.0237384993526197_probability_min_uncertain,4,1e-06,1e-05,true,false,estimate,delta,true,	324,TO,TO,TO
brp,N=16 MAX=2 ,N/A,0.0237384993526197_probability_min_uncertain,4,1e-06,1e-05,false,false,estimate,delta,true,	324,TO,TO,TO
brp,N=16 MAX=2 ,N/A,0.0237385106527327_probability_min_uncertain,4,0,1e-05,false,false,estimate,delta,true,?,MO,MO,MO
brp,N=16 MAX=2 ,N/A,0.0237385106527327_probability_min_uncertain,4,0,1e-05,true,false,estimate,delta,true,	330,TO,TO,TO
brp,N=16 MAX=2 ,N/A,0.0237385106527327_probability_min_uncertain,4,0,1e-05,true,true,estimate,delta,true,	183,TO,TO,TO
brp,N=16 MAX=2 ,N/A,0.0237385003926301_probability_min_uncertain,4,"0,0.8",1e-05,true,true,estimate,delta,true,	183,TO,TO,TO
brp,N=16 MAX=2 ,N/A,0.0237385003926301_probability_min_uncertain,4,"0,0.8",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
brp,N=16 MAX=2 ,N/A,0.0237385003926301_probability_min_uncertain,4,"0,0.8",1e-05,true,false,estimate,delta,true,	330,TO,TO,TO
brp,N=16 MAX=2 ,N/A,0.023738505932685502_probability_min_uncertain,4,"0.2,1",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
brp,N=16 MAX=2 ,N/A,0.023738505932685502_probability_min_uncertain,4,"0.2,1",1e-05,true,false,estimate,delta,true,	330,TO,TO,TO
brp,N=16 MAX=2 ,N/A,0.023738505932685502_probability_min_uncertain,4,"0.2,1",1e-05,true,true,estimate,delta,true,	183,TO,TO,TO
brp,N=32 MAX=4 ,N/A,0.0116793105519376_probability_min_uncertain,4,0.1,1e-05,false,false,estimate,delta,true,	1094,TO,TO,TO
brp,N=32 MAX=4 ,N/A,0.0116793105519376_probability_min_uncertain,4,0.1,1e-05,true,true,estimate,delta,true,	545,TO,TO,TO
brp,N=32 MAX=4 ,N/A,0.0116793105519376_probability_min_uncertain,4,0.1,1e-05,true,false,estimate,delta,true,	1094,TO,TO,TO
brp,N=32 MAX=4 ,N/A,0.011679316661998701_probability_min_uncertain,4,1e-06,1e-05,false,false,estimate,delta,true,	1094,TO,TO,TO
brp,N=32 MAX=4 ,N/A,0.011679316661998701_probability_min_uncertain,4,1e-06,1e-05,true,false,estimate,delta,true,	1094,TO,TO,TO
brp,N=32 MAX=4 ,N/A,0.011679316661998701_probability_min_uncertain,4,1e-06,1e-05,true,true,estimate,delta,true,	545,TO,TO,TO
brp,N=32 MAX=4 ,N/A,0.0116793048418805_probability_min_uncertain,4,0,1e-05,true,true,estimate,delta,true,	551,TO,TO,TO
brp,N=32 MAX=4 ,N/A,0.0116793048418805_probability_min_uncertain,4,0,1e-05,false,false,estimate,delta,true,?,MO,MO,MO
brp,N=32 MAX=4 ,N/A,0.0116793048418805_probability_min_uncertain,4,0,1e-05,true,false,estimate,delta,true,	1100,TO,TO,TO
brp,N=32 MAX=4 ,N/A,0.011679273021562301_probability_min_uncertain,4,"0,0.8",1e-05,true,true,estimate,delta,true,	551,TO,TO,TO
brp,N=32 MAX=4 ,N/A,0.011679273021562301_probability_min_uncertain,4,"0,0.8",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
brp,N=32 MAX=4 ,N/A,0.011679273021562301_probability_min_uncertain,4,"0,0.8",1e-05,true,false,estimate,delta,true,	1100,TO,TO,TO
brp,N=32 MAX=4 ,N/A,0.0116793150419825_probability_min_uncertain,4,"0.2,1",1e-05,true,true,estimate,delta,true,	551,TO,TO,TO
brp,N=32 MAX=4 ,N/A,0.0116793150419825_probability_min_uncertain,4,"0.2,1",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
brp,N=32 MAX=4 ,N/A,0.0116793150419825_probability_min_uncertain,4,"0.2,1",1e-05,true,false,estimate,delta,true,	1100,TO,TO,TO
brp,N=64 MAX=8 ,N/A,0.005793492792348581_probability_min_uncertain,4,0.1,1e-05,true,false,estimate,delta,true,	3978,TO,TO,TO
brp,N=64 MAX=8 ,N/A,0.005793492792348581_probability_min_uncertain,4,0.1,1e-05,false,false,estimate,delta,true,	3978,TO,TO,TO
brp,N=64 MAX=8 ,N/A,0.005793492792348581_probability_min_uncertain,4,0.1,1e-05,true,true,estimate,delta,true,	1857,TO,TO,TO
brp,N=64 MAX=8 ,N/A,0.005793492495114115_probability_min_uncertain,4,1e-06,1e-05,true,false,estimate,delta,true,	3978,TO,TO,TO
brp,N=64 MAX=8 ,N/A,0.005793492495114115_probability_min_uncertain,4,1e-06,1e-05,false,false,estimate,delta,true,	3978,TO,TO,TO
brp,N=64 MAX=8 ,N/A,0.005793492495114115_probability_min_uncertain,4,1e-06,1e-05,true,true,estimate,delta,true,	1857,TO,TO,TO
brp,N=64 MAX=8 ,N/A,0.005800058_probability_min_uncertain,4,0,1e-05,true,true,estimate,delta,true,	1863,TO,TO,TO
brp,N=64 MAX=8 ,N/A,0.005800058_probability_min_uncertain,4,0,1e-05,false,false,estimate,delta,true,?,MO,MO,MO
brp,N=64 MAX=8 ,N/A,0.005800058_probability_min_uncertain,4,0,1e-05,true,false,estimate,delta,true,	3984,TO,TO,TO
brp,N=64 MAX=8 ,N/A,0.0057934385438061006_probability_min_uncertain,4,"0,0.8",1e-05,true,false,estimate,delta,true,	3984,TO,TO,TO
brp,N=64 MAX=8 ,N/A,0.0057934385438061006_probability_min_uncertain,4,"0,0.8",1e-05,true,true,estimate,delta,true,	1863,TO,TO,TO
brp,N=64 MAX=8 ,N/A,0.0057934385438061006_probability_min_uncertain,4,"0,0.8",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
brp,N=64 MAX=8 ,N/A,0.00579349225334319_probability_min_uncertain,4,"0.2,1",1e-05,true,true,estimate,delta,true,	1863,TO,TO,TO
brp,N=64 MAX=8 ,N/A,0.00579349225334319_probability_min_uncertain,4,"0.2,1",1e-05,true,false,estimate,delta,true,	3984,TO,TO,TO
brp,N=64 MAX=8 ,N/A,0.00579349225334319_probability_min_uncertain,4,"0.2,1",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
crowds,CrowdSize=10 TotalRuns=2 ,N/A,0.00539753117377199_probability_min_observeIGreater1,2,0.1,1e-05,true,true,estimate,delta,true,	11,0.781,100.0,6909
crowds,CrowdSize=10 TotalRuns=2 ,N/A,0.00539753117377199_probability_min_observeIGreater1,2,0.1,1e-05,false,false,estimate,delta,true,	20,1.103,100.0,12557
crowds,CrowdSize=10 TotalRuns=2 ,N/A,0.00539753117377199_probability_min_observeIGreater1,2,0.1,1e-05,true,false,estimate,delta,true,	20,2.311,100.0,12557
crowds,CrowdSize=10 TotalRuns=2 ,N/A,0.0199203146611546_probability_min_observeIGreater1,2,1e-06,1e-05,true,false,estimate,delta,true,	20,29.571,100.0,221205
