Model,Const,Mem,Prop,Region,Region Bound,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,Simple,#States (after),Time (wall),% Known,Regions
4x4grid-avoid,N/A,1,0.8460818372337651_probability_min_notbad U goal,3,0.1,1e-05,true,true,estimate,delta,true,	47,1.02,100.0,13329
4x4grid-avoid,N/A,1,0.854534110265_probability_min_notbad U goal,3,0.1,0.01,true,false,estimate,delta,true,	45,0.06,100.0,489
4x4grid-avoid,N/A,1,0.8461579838376501_probability_min_notbad U goal,3,0.1,0.0001,true,false,estimate,delta,true,	45,0.409,100.0,6305
4x4grid-avoid,N/A,1,0.8461579838376501_probability_min_notbad U goal,3,0.1,0.0001,true,true,estimate,delta,true,	47,0.363,100.0,4489
4x4grid-avoid,N/A,1,0.9306807141500001_probability_min_notbad U goal,3,0.1,0.1,true,true,estimate,delta,true,	47,0.023,100.0,25
4x4grid-avoid,N/A,1,0.8460818372337651_probability_min_notbad U goal,3,0.1,1e-05,true,false,estimate,delta,true,	45,1.23,100.0,19297
4x4grid-avoid,N/A,1,0.854534110265_probability_min_notbad U goal,3,0.1,0.01,true,true,estimate,delta,true,	47,0.057,100.0,361
4x4grid-avoid,N/A,1,0.9306807141500001_probability_min_notbad U goal,3,0.1,0.1,true,false,estimate,delta,true,	45,0.022,100.0,33
4x4grid-avoid,N/A,1,0.9286640345177399_probability_min_notbad U goal,3,1e-06,0.0001,true,true,estimate,delta,true,	47,0.641,100.0,481
4x4grid-avoid,N/A,1,0.937856889174_probability_min_notbad U goal,3,1e-06,0.01,true,false,estimate,delta,true,	45,0.261,100.0,265
4x4grid-avoid,N/A,1,0.928580463111774_probability_min_notbad U goal,3,1e-06,1e-05,true,true,estimate,delta,true,	47,5.049,100.0,1497
4x4grid-avoid,N/A,1,0.928580463111774_probability_min_notbad U goal,3,1e-06,1e-05,true,false,estimate,delta,true,	45,38.022,100.0,49569
4x4grid-avoid,N/A,1,0.9286640345177399_probability_min_notbad U goal,3,1e-06,0.0001,true,false,estimate,delta,true,	45,26.304,100.0,9833
4x4grid-avoid,N/A,1,0.937856889174_probability_min_notbad U goal,3,1e-06,0.01,true,true,estimate,delta,true,	47,0.037,100.0,73
4x4grid-avoid,N/A,1,0.9393_probability_min_notbad U goal,3,0,0.01,true,false,estimate,delta,true,	45,0.072,100.0,137
4x4grid-avoid,N/A,1,0.9300930000000001_probability_min_notbad U goal,3,0,0.0001,true,true,estimate,delta,true,	47,0.08,100.0,137
4x4grid-avoid,N/A,1,0.9393_probability_min_notbad U goal,3,0,0.01,true,true,estimate,delta,true,	47,0.043,100.0,73
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,0,1e-05,true,false,estimate,delta,true,	45,4.216,100.0,929
4x4grid-avoid,N/A,1,0.9300930000000001_probability_min_notbad U goal,3,0,0.0001,true,false,estimate,delta,true,	45,4.223,100.0,929
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,0,1e-05,true,true,estimate,delta,true,	47,0.08,100.0,137
4x4grid-avoid,N/A,1,0.8572285736727613_probability_min_notbad U goal,3,"0,0.8",0.0001,true,true,estimate,delta,true,	47,13.111,100.0,2617
4x4grid-avoid,N/A,1,0.8657142879806909_probability_min_notbad U goal,3,"0,0.8",0.01,true,true,estimate,delta,true,	47,0.074,100.0,177
4x4grid-avoid,N/A,1,0.8571514308154166_probability_min_notbad U goal,3,"0,0.8",1e-05,true,true,estimate,delta,true,	47,25.709,100.0,3289
4x4grid-avoid,N/A,1,0.942857145325505_probability_min_notbad U goal,3,"0,0.8",0.1,true,false,estimate,delta,true,	45,0.026,100.0,41
4x4grid-avoid,N/A,1,0.8571514308154166_probability_min_notbad U goal,3,"0,0.8",1e-05,true,false,estimate,delta,true,	45,37.546,100.0,6721
4x4grid-avoid,N/A,1,0.942857145325505_probability_min_notbad U goal,3,"0,0.8",0.1,true,true,estimate,delta,true,	47,0.029,100.0,9
4x4grid-avoid,N/A,1,0.8657142879806909_probability_min_notbad U goal,3,"0,0.8",0.01,true,false,estimate,delta,true,	45,0.555,100.0,369
4x4grid-avoid,N/A,1,0.8572285736727613_probability_min_notbad U goal,3,"0,0.8",0.0001,true,false,estimate,delta,true,	45,16.661,100.0,4377
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,"0.2,1",1e-05,true,false,estimate,delta,true,	45,0.822,100.0,449
4x4grid-avoid,N/A,1,0.9300930000000001_probability_min_notbad U goal,3,"0.2,1",0.0001,true,true,estimate,delta,true,	47,0.045,100.0,65
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,"0.2,1",1e-05,true,true,estimate,delta,true,	47,0.045,100.0,65
4x4grid-avoid,N/A,1,0.9393_probability_min_notbad U goal,3,"0.2,1",0.01,true,true,estimate,delta,true,	47,0.023,100.0,25
4x4grid-avoid,N/A,1,0.9300930000000001_probability_min_notbad U goal,3,"0.2,1",0.0001,true,false,estimate,delta,true,	45,0.823,100.0,449
4x4grid-avoid,N/A,1,0.9393_probability_min_notbad U goal,3,"0.2,1",0.01,true,false,estimate,delta,true,	45,0.043,100.0,65
4x4grid,N/A,1,6.41942677909026_reward_max_goal,3,0.1,1e-05,true,false,estimate,delta,true,	47,0.28,100.0,4433
4x4grid,N/A,1,6.35529606426_reward_max_goal,3,0.1,0.01,true,false,estimate,delta,true,	47,0.025,100.0,137
4x4grid,N/A,1,6.41942677909026_reward_max_goal,3,0.1,1e-05,true,true,estimate,delta,true,	49,0.294,100.0,3753
4x4grid,N/A,1,6.418849024902601_reward_max_goal,3,0.1,0.0001,true,false,estimate,delta,true,	47,0.099,100.0,1369
4x4grid,N/A,1,5.777541876600001_reward_max_goal,3,0.1,0.1,true,true,estimate,delta,true,	49,0.022,100.0,41
4x4grid,N/A,1,5.777541876600001_reward_max_goal,3,0.1,0.1,true,false,estimate,delta,true,	47,0.019,100.0,41
4x4grid,N/A,1,6.35529606426_reward_max_goal,3,0.1,0.01,true,true,estimate,delta,true,	49,0.027,100.0,121
4x4grid,N/A,1,6.418849024902601_reward_max_goal,3,0.1,0.0001,true,true,estimate,delta,true,	49,0.179,100.0,1273
4x4grid,N/A,1,5.041627221223621_reward_max_goal,3,1e-06,1e-05,true,true,estimate,delta,true,	49,0.294,100.0,3561
4x4grid,N/A,1,4.991260861620001_reward_max_goal,3,1e-06,0.01,true,false,estimate,delta,true,	47,0.026,100.0,153
4x4grid,N/A,1,4.5375098742_reward_max_goal,3,1e-06,0.1,true,true,estimate,delta,true,	49,0.02,100.0,41
4x4grid,N/A,1,5.041173470236201_reward_max_goal,3,1e-06,0.0001,true,false,estimate,delta,true,	47,0.093,100.0,1257
4x4grid,N/A,1,4.991260861620001_reward_max_goal,3,1e-06,0.01,true,true,estimate,delta,true,	49,0.026,100.0,121
4x4grid,N/A,1,4.5375098742_reward_max_goal,3,1e-06,0.1,true,false,estimate,delta,true,	47,0.019,100.0,41
4x4grid,N/A,1,5.041627221223621_reward_max_goal,3,1e-06,1e-05,true,false,estimate,delta,true,	47,0.28,100.0,4281
4x4grid,N/A,1,5.041173470236201_reward_max_goal,3,1e-06,0.0001,true,true,estimate,delta,true,	49,0.1,100.0,1097
4x4grid,N/A,1,5.0411625003333_reward_max_goal,3,0,0.0001,true,true,estimate,delta,true,	49,0.127,100.0,1097
4x4grid,N/A,1,5.04161625033333_reward_max_goal,3,0,1e-05,true,false,estimate,delta,true,	47,0.37,100.0,4281
4x4grid,N/A,1,4.537500000300001_reward_max_goal,3,0,0.1,true,false,estimate,delta,true,	47,0.02,100.0,41
4x4grid,N/A,1,4.99125000033_reward_max_goal,3,0,0.01,true,false,estimate,delta,true,	47,0.029,100.0,153
4x4grid,N/A,1,5.04161625033333_reward_max_goal,3,0,1e-05,true,true,estimate,delta,true,	49,0.374,100.0,3585
4x4grid,N/A,1,4.537500000300001_reward_max_goal,3,0,0.1,true,true,estimate,delta,true,	49,0.021,100.0,41
4x4grid,N/A,1,4.99125000033_reward_max_goal,3,0,0.01,true,true,estimate,delta,true,	49,0.029,100.0,121
4x4grid,N/A,1,5.0411625003333_reward_max_goal,3,0,0.0001,true,false,estimate,delta,true,	47,0.121,100.0,1257
4x4grid,N/A,1,6.62042120454_reward_max_goal,3,"0,0.8",0.01,true,false,estimate,delta,true,	47,0.028,100.0,129
4x4grid,N/A,1,6.68722727305854_reward_max_goal,3,"0,0.8",1e-05,true,false,estimate,delta,true,	47,0.396,100.0,4553
4x4grid,N/A,1,6.6866254165854_reward_max_goal,3,"0,0.8",0.0001,true,true,estimate,delta,true,	49,0.149,100.0,1297
4x4grid,N/A,1,6.6866254165854_reward_max_goal,3,"0,0.8",0.0001,true,false,estimate,delta,true,	47,0.134,100.0,1385
